support_tickets,churn_risk_score
0.0,2.0
0.1,2.15
0.2,2.3
0.3,2.45
0.4,2.6
0.5,2.75
0.6,2.9
0.7,3.05
0.8,3.2
0.9,3.35
1.0,3.5
1.1,3.65
1.2,3.8
1.3,3.95
1.4,4.1
1.5,4.25
1.6,4.4
1.7,4.55
1.8,4.7
1.9,4.85
2.0,5.0
2.1,5.15
2.2,5.3
2.3,5.45
2.4,5.6
2.5,5.75
2.6,5.9
2.7,6.05
2.8,6.2
2.9,6.35
3.0,6.5
3.1,6.65
3.2,6.8
3.3,6.95
3.4,7.1
3.5,7.25
3.6,7.4
3.7,7.55
3.8,7.7
3.9,7.85
4.0,8.0
4.1,8.15
4.2,8.3
4.3,8.45
4.4,8.6
4.5,8.75
4.6,8.9
4.7,9.05
4.8,9.2
4.9,9.35
5.0,9.5
5.1,9.65
5.2,9.8
5.3,9.95
5.4,10.1
5.5,10.25
5.6,10.4
5.7,10.55
5.8,10.7
5.9,10.85
6.0,11.0
6.1,11.15
6.2,11.3
6.3,11.45
6.4,11.6
6.5,11.75
6.6,11.9
6.7,12.05
6.8,12.2
6.9,12.35
7.0,12.5
7.1,12.65
7.2,12.8
7.3,12.95
7.4,13.1
7.5,13.25
7.6,13.4
7.7,13.55
7.8,13.7
7.9,13.85
8.0,14.0
8.1,14.15
8.2,14.3
8.3,14.45
8.4,14.6
8.5,14.75
8.6,14.9
8.7,15.05
8.8,15.2
8.9,15.35
9.0,15.5
9.1,15.65
9.2,15.8
9.3,15.95
9.4,16.1
9.5,16.25
9.6,16.4
9.7,16.55
9.8,16.7
9.9,16.85
10.0,17.0
10.1,17.15
10.2,17.3
10.3,17.45
10.4,17.6
10.5,17.75
10.6,17.9
10.7,18.05
10.8,18.2
10.9,18.35
11.0,18.5
11.1,18.65
11.2,18.8
11.3,18.95
11.4,19.1
11.5,19.25
11.6,19.4
11.7,19.55
11.8,19.7
11.9,19.85
12.0,20.0
12.1,20.15
12.2,20.3
12.3,20.45
12.4,20.6
12.5,20.75
12.6,20.9
12.7,21.05
12.8,21.2
12.9,21.35
13.0,21.5
13.1,21.65
13.2,21.8
13.3,21.95
13.4,22.1
13.5,22.25
13.6,22.4
13.7,22.55
13.8,22.7
13.9,22.85
14.0,23.0
14.1,23.15
14.2,23.3
14.3,23.45
14.4,23.6
14.5,23.75
14.6,23.9
14.7,24.05
14.8,24.2
14.9,24.35
15.0,24.5
15.1,24.65
15.2,24.8
15.3,24.95
15.4,25.1
15.5,25.25
15.6,25.4
15.7,25.55
15.8,25.7
15.9,25.85
16.0,26.0
16.1,26.15
16.2,26.3
16.3,26.45
16.4,26.6
16.5,26.75
16.6,26.9
16.7,27.05
16.8,27.2
16.9,27.35
17.0,27.5
17.1,27.65
17.2,27.8
17.3,27.95
17.4,28.1
17.5,28.25
17.6,28.4
17.7,28.55
17.8,28.7
17.9,28.85
18.0,29.0
18.1,29.15
18.2,29.3
18.3,29.45
18.4,29.6
18.5,29.75
18.6,29.9
18.7,30.05
18.8,30.2
18.9,30.35
19.0,30.5
19.1,30.65
19.2,30.8
19.3,30.95
19.4,31.1
19.5,31.25
19.6,31.4
19.7,31.55
19.8,31.7
19.9,31.85
20.0,32.0
20.1,32.15
20.2,32.3
20.3,32.45
20.4,32.6
20.5,32.75
20.6,32.9
20.7,33.05
20.8,33.2
20.9,33.35
21.0,33.5
21.1,33.65
21.2,33.8
21.3,33.95
21.4,34.1
21.5,34.25
21.6,34.4
21.7,34.55
21.8,34.7
21.9,34.85
22.0,35.0
22.1,35.15
22.2,35.3
22.3,35.45
22.4,35.6
22.5,35.75
22.6,35.9
22.7,36.05
22.8,36.2
22.9,36.35
23.0,36.5
23.1,36.65
23.2,36.8
23.3,36.95
23.4,37.1
23.5,37.25
23.6,37.4
23.7,37.55
23.8,37.7
23.9,37.85
24.0,38.0
24.1,38.15
24.2,38.3
24.3,38.45
24.4,38.6
24.5,38.75
24.6,38.9
24.7,39.05
24.8,39.2
24.9,39.35
25.0,39.5
25.1,39.65
25.2,39.8
25.3,39.95
25.4,40.1
25.5,40.25
25.6,40.4
25.7,40.55
25.8,40.7
25.9,40.85
26.0,41.0
26.1,41.15
26.2,41.3
26.3,41.45
26.4,41.6
26.5,41.75
26.6,41.9
26.7,42.05
26.8,42.2
26.9,42.35
27.0,42.5
27.1,42.65
27.2,42.8
27.3,42.95
27.4,43.1
27.5,43.25
27.6,43.4
27.7,43.55
27.8,43.7
27.9,43.85
28.0,44.0
28.1,44.15
28.2,44.3
28.3,44.45
28.4,44.6
28.5,44.75
28.6,44.9
28.7,45.05
28.8,45.2
28.9,45.35
29.0,45.5
29.1,45.65
29.2,45.8
29.3,45.95
29.4,46.1
29.5,46.25
29.6,46.4
29.7,46.55
29.8,46.7
29.9,46.85
30.0,47.0
30.1,47.15
30.2,47.3
30.3,47.45
30.4,47.6
30.5,47.75
30.6,47.9
30.7,48.05
30.8,48.2
30.9,48.35
31.0,48.5
31.1,48.65
31.2,48.8
31.3,48.95
31.4,49.1
31.5,49.25
31.6,49.4
31.7,49.55
31.8,49.7
31.9,49.85
32.0,50.0
32.1,50.15
32.2,50.3
32.3,50.45
32.4,50.6
32.5,50.75
32.6,50.9
32.7,51.05
32.8,51.2
32.9,51.35
33.0,51.5
33.1,51.65
33.2,51.8
33.3,51.95
33.4,52.1
33.5,52.25
33.6,52.4
33.7,52.55
33.8,52.7
33.9,52.85
34.0,53.0
34.1,53.15
34.2,53.3
34.3,53.45
34.4,53.6
34.5,53.75
34.6,53.9
34.7,54.05
34.8,54.2
34.9,54.35
35.0,54.5
35.1,54.65
35.2,54.8
35.3,54.95
35.4,55.1
35.5,55.25
35.6,55.4
35.7,55.55
35.8,55.7
35.9,55.85
36.0,56.0
36.1,56.15
36.2,56.3
36.3,56.45
36.4,56.6
36.5,56.75
36.6,56.9
36.7,57.05
36.8,57.2
36.9,57.35
37.0,57.5
37.1,57.65
37.2,57.8
37.3,57.95
37.4,58.1
37.5,58.25
37.6,58.4
37.7,58.55
37.8,58.7
37.9,58.85
38.0,59.0
38.1,59.15
38.2,59.3
38.3,59.45
38.4,59.6
38.5,59.75
38.6,59.9
38.7,60.05
38.8,60.2
38.9,60.35
39.0,60.5
39.1,60.65
39.2,60.8
39.3,60.95
39.4,61.1
39.5,61.25
39.6,61.4
39.7,61.55
39.8,61.7
39.9,61.85
40.0,62.0
40.1,62.15
40.2,62.3
40.3,62.45
40.4,62.6
40.5,62.75
40.6,62.9
40.7,63.05
40.8,63.2
40.9,63.35
41.0,63.5
41.1,63.65
41.2,63.8
41.3,63.95
41.4,64.1
41.5,64.25
41.6,64.4
41.7,64.55
41.8,64.7
41.9,64.85
42.0,65.0
42.1,65.15
42.2,65.3
42.3,65.45
42.4,65.6
42.5,65.75
42.6,65.9
42.7,66.05
42.8,66.2
42.9,66.35
43.0,66.5
43.1,66.65
43.2,66.8
43.3,66.95
43.4,67.1
