price,demand
1.0,110.0
1.1,100.9091
1.2,93.3333
1.3,86.9231
1.4,81.4286
1.5,76.6667
1.6,72.5
1.7,68.8235
1.8,65.5556
1.9,62.6316
2.0,60.0
2.1,57.619
2.2,55.4545
2.3,53.4783
2.4,51.6667
2.5,50.0
2.6,48.4615
2.7,47.037
2.8,45.7143
2.9,44.4828
3.0,43.3333
3.1,42.2581
3.2,41.25
3.3,40.303
3.4,39.4118
3.5,38.5714
3.6,37.7778
3.7,37.027
3.8,36.3158
3.9,35.641
4.0,35.0
4.1,34.3902
4.2,33.8095
4.3,33.2558
4.4,32.7273
4.5,32.2222
4.6,31.7391
4.7,31.2766
4.8,30.8333
4.9,30.4082
5.0,30.0
5.1,29.6078
5.2,29.2308
5.3,28.8679
5.4,28.5185
5.5,28.1818
5.6,27.8571
5.7,27.5439
5.8,27.2414
5.9,26.9492
6.0,26.6667
6.1,26.3934
6.2,26.129
6.3,25.873
6.4,25.625
6.5,25.3846
6.6,25.1515
6.7,24.9254
6.8,24.7059
6.9,24.4928
7.0,24.2857
7.1,24.0845
7.2,23.8889
7.3,23.6986
7.4,23.5135
7.5,23.3333
7.6,23.1579
7.7,22.987
7.8,22.8205
7.9,22.6582
8.0,22.5
8.1,22.3457
8.2,22.1951
8.3,22.0482
8.4,21.9048
8.5,21.7647
8.6,21.6279
8.7,21.4943
8.8,21.3636
8.9,21.236
9.0,21.1111
9.1,20.989
9.2,20.8696
9.3,20.7527
9.4,20.6383
9.5,20.5263
9.6,20.4167
9.7,20.3093
9.8,20.2041
9.9,20.101
10.0,20.0
10.1,19.901
10.2,19.8039
10.3,19.7087
10.4,19.6154
10.5,19.5238
10.6,19.434
10.7,19.3458
10.8,19.2593
10.9,19.1743
11.0,19.0909
11.1,19.009
11.2,18.9286
11.3,18.8496
11.4,18.7719
11.5,18.6957
11.6,18.6207
11.7,18.547
11.8,18.4746
11.9,18.4034
12.0,18.3333
12.1,18.2645
12.2,18.1967
12.3,18.1301
12.4,18.0645
12.5,18.0
12.6,17.9365
12.7,17.874
12.8,17.8125
12.9,17.7519
13.0,17.6923
13.1,17.6336
13.2,17.5758
13.3,17.5188
13.4,17.4627
13.5,17.4074
13.6,17.3529
13.7,17.2993
13.8,17.2464
13.9,17.1942
14.0,17.1429
14.1,17.0922
14.2,17.0423
14.3,16.993
14.4,16.9444
14.5,16.8966
14.6,16.8493
14.7,16.8027
14.8,16.7568
14.9,16.7114
15.0,16.6667
15.1,16.6225
15.2,16.5789
15.3,16.5359
15.4,16.4935
15.5,16.4516
15.6,16.4103
15.7,16.3694
15.8,16.3291
15.9,16.2893
16.0,16.25
16.1,16.2112
16.2,16.1728
16.3,16.135
16.4,16.0976
16.5,16.0606
16.6,16.0241
16.7,15.988
16.8,15.9524
16.9,15.9172
17.0,15.8824
17.1,15.848
17.2,15.814
17.3,15.7803
17.4,15.7471
17.5,15.7143
17.6,15.6818
17.7,15.6497
17.8,15.618
17.9,15.5866
18.0,15.5556
18.1,15.5249
18.2,15.4945
18.3,15.4645
18.4,15.4348
18.5,15.4054
18.6,15.3763
18.7,15.3476
