daily_demand,reorder_point
1.0,7.5
1.1,7.75
1.2,8.0
1.3,8.25
1.4,8.5
1.5,8.75
1.6,9.0
1.7,9.25
1.8,9.5
1.9,9.75
2.0,10.0
2.1,10.25
2.2,10.5
2.3,10.75
2.4,11.0
2.5,11.25
2.6,11.5
2.7,11.75
2.8,12.0
2.9,12.25
3.0,12.5
3.1,12.75
3.2,13.0
3.3,13.25
3.4,13.5
3.5,13.75
3.6,14.0
3.7,14.25
3.8,14.5
3.9,14.75
4.0,15.0
4.1,15.25
4.2,15.5
4.3,15.75
4.4,16.0
4.5,16.25
4.6,16.5
4.7,16.75
4.8,17.0
4.9,17.25
5.0,17.5
5.1,17.75
5.2,18.0
5.3,18.25
5.4,18.5
5.5,18.75
5.6,19.0
5.7,19.25
5.8,19.5
5.9,19.75
6.0,20.0
6.1,20.25
6.2,20.5
6.3,20.75
6.4,21.0
6.5,21.25
6.6,21.5
6.7,21.75
6.8,22.0
6.9,22.25
7.0,22.5
7.1,22.75
7.2,23.0
7.3,23.25
7.4,23.5
7.5,23.75
7.6,24.0
7.7,24.25
7.8,24.5
7.9,24.75
8.0,25.0
8.1,25.25
8.2,25.5
8.3,25.75
8.4,26.0
8.5,26.25
8.6,26.5
8.7,26.75
8.8,27.0
8.9,27.25
9.0,27.5
9.1,27.75
9.2,28.0
9.3,28.25
9.4,28.5
9.5,28.75
9.6,29.0
9.7,29.25
9.8,29.5
9.9,29.75
10.0,30.0
10.1,30.25
10.2,30.5
10.3,30.75
10.4,31.0
10.5,31.25
10.6,31.5
10.7,31.75
10.8,32.0
10.9,32.25
11.0,32.5
11.1,32.75
11.2,33.0
11.3,33.25
11.4,33.5
11.5,33.75
11.6,34.0
11.7,34.25
11.8,34.5
11.9,34.75
12.0,35.0
12.1,35.25
12.2,35.5
12.3,35.75
12.4,36.0
12.5,36.25
12.6,36.5
12.7,36.75
12.8,37.0
12.9,37.25
13.0,37.5
13.1,37.75
13.2,38.0
13.3,38.25
13.4,38.5
13.5,38.75
13.6,39.0
13.7,39.25
13.8,39.5
13.9,39.75
14.0,40.0
14.1,40.25
14.2,40.5
14.3,40.75
14.4,41.0
14.5,41.25
14.6,41.5
14.7,41.75
14.8,42.0
14.9,42.25
15.0,42.5
15.1,42.75
15.2,43.0
15.3,43.25
15.4,43.5
15.5,43.75
15.6,44.0
15.7,44.25
15.8,44.5
15.9,44.75
16.0,45.0
16.1,45.25
16.2,45.5
16.3,45.75
16.4,46.0
16.5,46.25
16.6,46.5
16.7,46.75
16.8,47.0
16.9,47.25
17.0,47.5
17.1,47.75
17.2,48.0
17.3,48.25
17.4,48.5
17.5,48.75
17.6,49.0
17.7,49.25
17.8,49.5
17.9,49.75
18.0,50.0
18.1,50.25
18.2,50.5
18.3,50.75
18.4,51.0
18.5,51.25
18.6,51.5
18.7,51.75
18.8,52.0
18.9,52.25
19.0,52.5
19.1,52.75
19.2,53.0
19.3,53.25
19.4,53.5
19.5,53.75
19.6,54.0
19.7,54.25
19.8,54.5
19.9,54.75
20.0,55.0
20.1,55.25
20.2,55.5
20.3,55.75
20.4,56.0
20.5,56.25
20.6,56.5
20.7,56.75
20.8,57.0
20.9,57.25
21.0,57.5
21.1,57.75
21.2,58.0
21.3,58.25
21.4,58.5
21.5,58.75
21.6,59.0
21.7,59.25
21.8,59.5
21.9,59.75
22.0,60.0
22.1,60.25
22.2,60.5
22.3,60.75
22.4,61.0
22.5,61.25
22.6,61.5
22.7,61.75
22.8,62.0
22.9,62.25
23.0,62.5
23.1,62.75
23.2,63.0
23.3,63.25
23.4,63.5
23.5,63.75
23.6,64.0
23.7,64.25
23.8,64.5
23.9,64.75
24.0,65.0
24.1,65.25
24.2,65.5
24.3,65.75
24.4,66.0
24.5,66.25
24.6,66.5
24.7,66.75
24.8,67.0
24.9,67.25
25.0,67.5
25.1,67.75
25.2,68.0
25.3,68.25
25.4,68.5
25.5,68.75
25.6,69.0
25.7,69.25
25.8,69.5
25.9,69.75
26.0,70.0
26.1,70.25
26.2,70.5
26.3,70.75
26.4,71.0
26.5,71.25
26.6,71.5
26.7,71.75
26.8,72.0
26.9,72.25
27.0,72.5
27.1,72.75
27.2,73.0
27.3,73.25
27.4,73.5
27.5,73.75
27.6,74.0
27.7,74.25
27.8,74.5
27.9,74.75
28.0,75.0
28.1,75.25
28.2,75.5
28.3,75.75
28.4,76.0
28.5,76.25
28.6,76.5
28.7,76.75
28.8,77.0
28.9,77.25
29.0,77.5
29.1,77.75
29.2,78.0
29.3,78.25
29.4,78.5
29.5,78.75
29.6,79.0
29.7,79.25
29.8,79.5
29.9,79.75
30.0,80.0
30.1,80.25
30.2,80.5
30.3,80.75
30.4,81.0
30.5,81.25
30.6,81.5
30.7,81.75
30.8,82.0
30.9,82.25
31.0,82.5
31.1,82.75
31.2,83.0
31.3,83.25
31.4,83.5
31.5,83.75
31.6,84.0
31.7,84.25
31.8,84.5
31.9,84.75
32.0,85.0
32.1,85.25
32.2,85.5
32.3,85.75
32.4,86.0
32.5,86.25
32.6,86.5
32.7,86.75
32.8,87.0
32.9,87.25
33.0,87.5
33.1,87.75
33.2,88.0
33.3,88.25
33.4,88.5
33.5,88.75
33.6,89.0
33.7,89.25
33.8,89.5
33.9,89.75
34.0,90.0
34.1,90.25
34.2,90.5
34.3,90.75
34.4,91.0
34.5,91.25
34.6,91.5
34.7,91.75
34.8,92.0
34.9,92.25
35.0,92.5
35.1,92.75
35.2,93.0
35.3,93.25
35.4,93.5
35.5,93.75
35.6,94.0
35.7,94.25
35.8,94.5
35.9,94.75
36.0,95.0
36.1,95.25
36.2,95.5
36.3,95.75
36.4,96.0
36.5,96.25
36.6,96.5
36.7,96.75
36.8,97.0
36.9,97.25
37.0,97.5
37.1,97.75
37.2,98.0
37.3,98.25
37.4,98.5
37.5,98.75
37.6,99.0
37.7,99.25
37.8,99.5
37.9,99.75
38.0,100.0
38.1,100.25
38.2,100.5
38.3,100.75
38.4,101.0
38.5,101.25
38.6,101.5
38.7,101.75
38.8,102.0
38.9,102.25
39.0,102.5
39.1,102.75
39.2,103.0
39.3,103.25
39.4,103.5
39.5,103.75
39.6,104.0
39.7,104.25
39.8,104.5
