x_error,u_control
0.0,0.0
0.01,0.015
0.02,0.03
0.03,0.045
0.04,0.06
0.05,0.075
0.06,0.09
0.07,0.1049
0.08,0.1199
0.09,0.1349
0.1,0.1498
0.11,0.1648
0.12,0.1797
0.13,0.1946
0.14,0.2095
0.15,0.2244
0.16,0.2393
0.17,0.2542
0.18,0.269
0.19,0.2839
0.2,0.2987
0.21,0.3135
0.22,0.3282
0.23,0.343
0.24,0.3577
0.25,0.3724
0.26,0.3871
0.27,0.4017
0.28,0.4164
0.29,0.431
0.3,0.4455
0.31,0.4601
0.32,0.4746
0.33,0.489
0.34,0.5035
0.35,0.5179
0.36,0.5323
0.37,0.5466
0.38,0.5609
0.39,0.5752
0.4,0.5894
0.41,0.6036
0.42,0.6178
0.43,0.6319
0.44,0.6459
0.45,0.66
0.46,0.6739
0.47,0.6879
0.48,0.7018
0.49,0.7156
0.5,0.7294
0.51,0.7432
0.52,0.7569
0.53,0.7705
0.54,0.7841
0.55,0.7977
0.56,0.8112
0.57,0.8246
0.58,0.838
0.59,0.8514
0.6,0.8646
0.61,0.8779
0.62,0.891
0.63,0.9041
0.64,0.9172
0.65,0.9302
0.66,0.9431
0.67,0.956
0.68,0.9688
0.69,0.9815
0.7,0.9942
0.71,1.0068
0.72,1.0194
0.73,1.0319
0.74,1.0443
0.75,1.0566
0.76,1.0689
0.77,1.0811
0.78,1.0933
0.79,1.1054
0.8,1.1174
0.81,1.1293
0.82,1.1411
0.83,1.1529
0.84,1.1646
0.85,1.1763
0.86,1.1878
0.87,1.1993
0.88,1.2107
0.89,1.2221
0.9,1.2333
0.91,1.2445
0.92,1.2556
0.93,1.2666
0.94,1.2776
0.95,1.2884
0.96,1.2992
0.97,1.3099
0.98,1.3205
0.99,1.331
1.0,1.3415
1.01,1.3518
1.02,1.3621
1.03,1.3723
1.04,1.3824
1.05,1.3924
1.06,1.4024
1.07,1.4122
1.08,1.422
1.09,1.4316
1.1,1.4412
1.11,1.4507
1.12,1.4601
1.13,1.4694
1.14,1.4786
1.15,1.4878
1.16,1.4968
1.17,1.5058
1.18,1.5146
1.19,1.5234
1.2,1.532
1.21,1.5406
1.22,1.5491
1.23,1.5575
1.24,1.5658
1.25,1.574
1.26,1.5821
1.27,1.5901
1.28,1.598
1.29,1.6058
1.3,1.6136
1.31,1.6212
1.32,1.6287
1.33,1.6361
1.34,1.6435
1.35,1.6507
1.36,1.6579
1.37,1.6649
1.38,1.6719
1.39,1.6787
1.4,1.6854
1.41,1.6921
1.42,1.6987
1.43,1.7051
1.44,1.7115
1.45,1.7177
1.46,1.7239
1.47,1.7299
1.48,1.7359
1.49,1.7417
1.5,1.7475
1.51,1.7532
1.52,1.7587
1.53,1.7642
1.54,1.7695
1.55,1.7748
1.56,1.7799
1.57,1.785
1.58,1.79
1.59,1.7948
1.6,1.7996
1.61,1.8042
1.62,1.8088
1.63,1.8132
1.64,1.8176
1.65,1.8219
1.66,1.826
1.67,1.8301
1.68,1.834
1.69,1.8379
1.7,1.8417
1.71,1.8453
1.72,1.8489
1.73,1.8524
1.74,1.8557
1.75,1.859
1.76,1.8622
1.77,1.8652
1.78,1.8682
1.79,1.8711
1.8,1.8738
1.81,1.8765
1.82,1.8791
1.83,1.8816
1.84,1.884
1.85,1.8863
1.86,1.8885
1.87,1.8906
1.88,1.8926
1.89,1.8945
1.9,1.8963
1.91,1.898
1.92,1.8996
1.93,1.9012
1.94,1.9026
1.95,1.904
1.96,1.9052
1.97,1.9064
1.98,1.9074
1.99,1.9084
2.0,1.9093
2.01,1.9101
2.02,1.9108
2.03,1.9114
2.04,1.9119
2.05,1.9124
2.06,1.9127
2.07,1.913
2.08,1.9131
2.09,1.9132
2.1,1.9132
2.11,1.9131
2.12,1.9129
2.13,1.9127
2.14,1.9123
2.15,1.9119
2.16,1.9114
2.17,1.9108
2.18,1.9101
2.19,1.9093
2.2,1.9085
2.21,1.9076
2.22,1.9066
2.23,1.9055
2.24,1.9043
2.25,1.9031
2.26,1.9018
2.27,1.9004
2.28,1.8989
2.29,1.8973
2.3,1.8957
2.31,1.894
2.32,1.8922
2.33,1.8904
2.34,1.8885
2.35,1.8865
2.36,1.8844
2.37,1.8823
2.38,1.8801
2.39,1.8778
2.4,1.8755
2.41,1.8731
2.42,1.8706
2.43,1.868
2.44,1.8654
2.45,1.8628
2.46,1.86
2.47,1.8572
2.48,1.8544
2.49,1.8515
2.5,1.8485
2.51,1.8454
2.52,1.8423
2.53,1.8392
2.54,1.836
2.55,1.8327
2.56,1.8294
2.57,1.826
2.58,1.8225
2.59,1.819
2.6,1.8155
2.61,1.8119
2.62,1.8083
2.63,1.8046
2.64,1.8008
2.65,1.797
2.66,1.7932
2.67,1.7893
2.68,1.7854
2.69,1.7814
2.7,1.7774
2.71,1.7733
2.72,1.7692
2.73,1.7651
2.74,1.7609
2.75,1.7567
2.76,1.7524
2.77,1.7481
2.78,1.7438
2.79,1.7394
2.8,1.735
2.81,1.7305
2.82,1.7261
2.83,1.7216
2.84,1.717
2.85,1.7125
2.86,1.7079
2.87,1.7033
2.88,1.6986
2.89,1.6939
2.9,1.6892
2.91,1.6845
2.92,1.6798
2.93,1.675
2.94,1.6702
2.95,1.6654
2.96,1.6606
2.97,1.6558
2.98,1.6509
2.99,1.646
3.0,1.6411
3.01,1.6362
3.02,1.6313
3.03,1.6264
3.04,1.6214
3.05,1.6165
3.06,1.6115
3.07,1.6065
3.08,1.6016
3.09,1.5966
3.1,1.5916
3.11,1.5866
3.12,1.5816
3.13,1.5766
3.14,1.5716
3.15,1.5666
3.16,1.5616
3.17,1.5566
3.18,1.5516
3.19,1.5466
3.2,1.5416
3.21,1.5366
3.22,1.5317
3.23,1.5267
3.24,1.5218
3.25,1.5168
3.26,1.5119
3.27,1.5069
3.28,1.502
3.29,1.4971
3.3,1.4923
3.31,1.4874
3.32,1.4825
3.33,1.4777
3.34,1.4729
3.35,1.4681
3.36,1.4633
3.37,1.4586
3.38,1.4538
3.39,1.4491
3.4,1.4445
3.41,1.4398
3.42,1.4352
3.43,1.4306
3.44,1.426
3.45,1.4215
3.46,1.4169
3.47,1.4125
3.48,1.408
3.49,1.4036
3.5,1.3992
3.51,1.3949
3.52,1.3906
3.53,1.3863
3.54,1.382
3.55,1.3779
3.56,1.3737
3.57,1.3696
3.58,1.3655
3.59,1.3615
3.6,1.3575
3.61,1.3535
3.62,1.3496
3.63,1.3458
3.64,1.342
3.65,1.3382
3.66,1.3345
3.67,1.3308
3.68,1.3272
3.69,1.3237
3.7,1.3202
3.71,1.3167
3.72,1.3133
3.73,1.31
3.74,1.3067
3.75,1.3034
3.76,1.3003
3.77,1.2971
3.78,1.2941
3.79,1.2911
3.8,1.2881
3.81,1.2853
3.82,1.2824
3.83,1.2797
3.84,1.277
3.85,1.2744
3.86,1.2718
3.87,1.2693
3.88,1.2669
3.89,1.2645
3.9,1.2622
3.91,1.26
3.92,1.2579
3.93,1.2558
3.94,1.2538
3.95,1.2518
3.96,1.2499
3.97,1.2481
3.98,1.2464
3.99,1.2448
4.0,1.2432
4.01,1.2417
4.02,1.2403
4.03,1.2389
4.04,1.2377
4.05,1.2365
4.06,1.2354
4.07,1.2343
4.08,1.2334
4.09,1.2325
4.1,1.2317
4.11,1.231
4.12,1.2304
4.13,1.2298
4.14,1.2294
4.15,1.229
4.16,1.2287
4.17,1.2285
4.18,1.2284
4.19,1.2284
4.2,1.2284
4.21,1.2286
4.22,1.2288
4.23,1.2291
4.24,1.2295
4.25,1.23
4.26,1.2306
4.27,1.2313
4.28,1.232
4.29,1.2329
4.3,1.2338
4.31,1.2349
4.32,1.236
4.33,1.2372
4.34,1.2385
4.35,1.2399
4.36,1.2414
4.37,1.243
4.38,1.2447
4.39,1.2465
4.4,1.2484
4.41,1.2504
4.42,1.2524
4.43,1.2546
4.44,1.2569
4.45,1.2592
4.46,1.2617
4.47,1.2642
4.48,1.2669
4.49,1.2696
4.5,1.2725
4.51,1.2754
4.52,1.2784
4.53,1.2816
4.54,1.2848
4.55,1.2882
4.56,1.2916
4.57,1.2951
4.58,1.2988
4.59,1.3025
4.6,1.3063
4.61,1.3102
4.62,1.3143
4.63,1.3184
4.64,1.3226
4.65,1.3269
4.66,1.3314
4.67,1.3359
4.68,1.3405
4.69,1.3453
4.7,1.3501
4.71,1.355
4.72,1.36
4.73,1.3652
4.74,1.3704
4.75,1.3757
4.76,1.3811
4.77,1.3867
4.78,1.3923
4.79,1.398
4.8,1.4038
4.81,1.4098
4.82,1.4158
4.83,1.4219
4.84,1.4281
4.85,1.4345
4.86,1.4409
4.87,1.4474
4.88,1.454
4.89,1.4607
4.9,1.4675
4.91,1.4745
4.92,1.4815
4.93,1.4886
4.94,1.4958
4.95,1.5031
4.96,1.5105
4.97,1.518
4.98,1.5256
4.99,1.5333
5.0,1.5411
5.01,1.549
5.02,1.5569
5.03,1.565
5.04,1.5732
5.05,1.5815
5.06,1.5898
5.07,1.5983
5.08,1.6068
5.09,1.6155
5.1,1.6242
5.11,1.633
5.12,1.6419
5.13,1.6509
5.14,1.66
5.15,1.6692
5.16,1.6785
5.17,1.6879
5.18,1.6974
5.19,1.7069
5.2,1.7165
5.21,1.7263
5.22,1.7361
5.23,1.746
5.24,1.756
5.25,1.7661
5.26,1.7762
5.27,1.7865
5.28,1.7968
5.29,1.8072
5.3,1.8177
5.31,1.8283
5.32,1.839
5.33,1.8497
5.34,1.8606
5.35,1.8715
5.36,1.8825
5.37,1.8935
5.38,1.9047
5.39,1.9159
5.4,1.9272
5.41,1.9386
5.42,1.9501
5.43,1.9616
5.44,1.9732
5.45,1.9849
5.46,1.9967
5.47,2.0085
5.48,2.0204
5.49,2.0324
5.5,2.0445
5.51,2.0566
5.52,2.0688
5.53,2.081
5.54,2.0934
5.55,2.1058
5.56,2.1182
5.57,2.1308
5.58,2.1433
5.59,2.156
5.6,2.1687
5.61,2.1815
5.62,2.1944
5.63,2.2073
5.64,2.2203
5.65,2.2333
5.66,2.2464
5.67,2.2595
5.68,2.2727
5.69,2.286
5.7,2.2993
5.71,2.3127
5.72,2.3261
5.73,2.3396
5.74,2.3531
5.75,2.3667
5.76,2.3804
5.77,2.394
5.78,2.4078
5.79,2.4216
5.8,2.4354
5.81,2.4493
5.82,2.4632
5.83,2.4772
5.84,2.4912
5.85,2.5052
5.86,2.5193
5.87,2.5335
5.88,2.5476
5.89,2.5619
5.9,2.5761
5.91,2.5904
5.92,2.6047
5.93,2.6191
5.94,2.6335
5.95,2.6479
5.96,2.6624
5.97,2.6769
5.98,2.6914
5.99,2.706
6.0,2.7206
6.01,2.7352
6.02,2.7498
6.03,2.7645
6.04,2.7792
6.05,2.7939
6.06,2.8087
6.07,2.8234
6.08,2.8382
6.09,2.853
6.1,2.8678
6.11,2.8827
6.12,2.8975
6.13,2.9124
6.14,2.9273
6.15,2.9422
6.16,2.9571
6.17,2.9721
6.18,2.987
6.19,3.0019
6.2,3.0169
6.21,3.0319
6.22,3.0469
6.23,3.0618
6.24,3.0768
6.25,3.0918
6.26,3.1068
6.27,3.1218
6.28,3.1368
6.29,3.1518
6.3,3.1668
6.31,3.1818
6.32,3.1968
6.33,3.2118
6.34,3.2268
6.35,3.2418
6.36,3.2567
6.37,3.2717
6.38,3.2867
6.39,3.3016
6.4,3.3165
6.41,3.3315
6.42,3.3464
6.43,3.3613
6.44,3.3762
6.45,3.391
6.46,3.4059
6.47,3.4207
6.48,3.4355
6.49,3.4503
6.5,3.4651
6.51,3.4799
6.52,3.4946
6.53,3.5093
