ret_5d,alpha_target
0.0,0.0
0.01,0.01
0.02,0.02
0.03,0.03
0.04,0.04
0.05,0.0499
0.06,0.0599
0.07,0.0698
0.08,0.0797
0.09,0.0896
0.1,0.0995
0.11,0.1093
0.12,0.1191
0.13,0.1289
0.14,0.1386
0.15,0.1483
0.16,0.158
0.17,0.1675
0.18,0.1771
0.19,0.1866
0.2,0.196
0.21,0.2054
0.22,0.2147
0.23,0.2239
0.24,0.2331
0.25,0.2422
0.26,0.2513
0.27,0.2602
0.28,0.2691
0.29,0.2779
0.3,0.2866
0.31,0.2952
0.32,0.3038
0.33,0.3122
0.34,0.3205
0.35,0.3288
0.36,0.3369
0.37,0.345
0.38,0.3529
0.39,0.3607
0.4,0.3684
0.41,0.376
0.42,0.3835
0.43,0.3909
0.44,0.3981
0.45,0.4052
0.46,0.4122
0.47,0.419
0.48,0.4258
0.49,0.4323
0.5,0.4388
0.51,0.4451
0.52,0.4513
0.53,0.4573
0.54,0.4632
0.55,0.4689
0.56,0.4745
0.57,0.4799
0.58,0.4851
0.59,0.4903
0.6,0.4952
0.61,0.5
0.62,0.5046
0.63,0.5091
0.64,0.5133
0.65,0.5175
0.66,0.5214
0.67,0.5252
0.68,0.5287
0.69,0.5322
0.7,0.5354
0.71,0.5384
0.72,0.5413
0.73,0.544
0.74,0.5465
0.75,0.5488
0.76,0.5509
0.77,0.5528
0.78,0.5545
0.79,0.556
0.8,0.5574
0.81,0.5585
0.82,0.5594
0.83,0.5601
0.84,0.5607
0.85,0.561
0.86,0.5611
0.87,0.561
0.88,0.5607
0.89,0.5602
0.9,0.5594
0.91,0.5585
0.92,0.5574
0.93,0.556
0.94,0.5544
0.95,0.5526
0.96,0.5506
0.97,0.5483
0.98,0.5459
0.99,0.5432
1.0,0.5403
1.01,0.5372
1.02,0.5338
1.03,0.5303
1.04,0.5265
1.05,0.5224
1.06,0.5182
1.07,0.5137
1.08,0.509
1.09,0.5041
1.1,0.499
1.11,0.4936
1.12,0.488
1.13,0.4821
1.14,0.4761
1.15,0.4698
1.16,0.4632
1.17,0.4565
1.18,0.4495
1.19,0.4423
1.2,0.4348
1.21,0.4272
1.22,0.4192
1.23,0.4111
1.24,0.4027
1.25,0.3942
1.26,0.3853
1.27,0.3763
1.28,0.367
1.29,0.3575
1.3,0.3477
1.31,0.3378
1.32,0.3276
1.33,0.3172
1.34,0.3065
1.35,0.2957
1.36,0.2846
1.37,0.2732
1.38,0.2617
1.39,0.2499
1.4,0.238
1.41,0.2257
1.42,0.2133
1.43,0.2007
1.44,0.1878
1.45,0.1747
1.46,0.1614
1.47,0.1479
1.48,0.1342
1.49,0.1203
1.5,0.1061
1.51,0.0917
1.52,0.0772
1.53,0.0624
1.54,0.0474
1.55,0.0322
1.56,0.0168
1.57,0.0013
1.58,-0.0145
1.59,-0.0305
1.6,-0.0467
1.61,-0.0631
1.62,-0.0797
1.63,-0.0964
1.64,-0.1134
1.65,-0.1305
1.66,-0.1479
1.67,-0.1654
1.68,-0.1831
1.69,-0.201
1.7,-0.219
1.71,-0.2373
1.72,-0.2557
1.73,-0.2743
1.74,-0.293
1.75,-0.3119
1.76,-0.331
1.77,-0.3503
1.78,-0.3697
1.79,-0.3892
1.8,-0.409
1.81,-0.4288
1.82,-0.4489
1.83,-0.469
1.84,-0.4894
1.85,-0.5098
1.86,-0.5305
1.87,-0.5512
1.88,-0.5721
1.89,-0.5931
1.9,-0.6143
1.91,-0.6355
1.92,-0.6569
1.93,-0.6785
1.94,-0.7001
1.95,-0.7219
1.96,-0.7437
1.97,-0.7657
1.98,-0.7878
1.99,-0.81
2.0,-0.8323
2.01,-0.8547
2.02,-0.8772
2.03,-0.8998
2.04,-0.9224
2.05,-0.9452
2.06,-0.968
2.07,-0.991
2.08,-1.014
2.09,-1.037
2.1,-1.0602
2.11,-1.0834
2.12,-1.1067
2.13,-1.13
2.14,-1.1534
2.15,-1.1768
2.16,-1.2003
2.17,-1.2238
2.18,-1.2474
2.19,-1.271
2.2,-1.2947
2.21,-1.3184
2.22,-1.3421
2.23,-1.3658
2.24,-1.3896
2.25,-1.4134
2.26,-1.4372
2.27,-1.461
2.28,-1.4848
2.29,-1.5086
2.3,-1.5324
2.31,-1.5562
2.32,-1.58
2.33,-1.6038
2.34,-1.6276
2.35,-1.6514
2.36,-1.6751
2.37,-1.6988
2.38,-1.7225
2.39,-1.7461
2.4,-1.7697
2.41,-1.7933
2.42,-1.8168
2.43,-1.8403
2.44,-1.8637
2.45,-1.8871
2.46,-1.9104
2.47,-1.9336
2.48,-1.9568
2.49,-1.9798
2.5,-2.0029
2.51,-2.0258
2.52,-2.0486
2.53,-2.0714
2.54,-2.0941
2.55,-2.1166
2.56,-2.1391
2.57,-2.1615
2.58,-2.1837
2.59,-2.2059
2.6,-2.2279
2.61,-2.2498
2.62,-2.2716
2.63,-2.2933
2.64,-2.3148
2.65,-2.3362
2.66,-2.3574
2.67,-2.3786
2.68,-2.3995
2.69,-2.4203
2.7,-2.441
2.71,-2.4615
2.72,-2.4818
2.73,-2.502
2.74,-2.522
2.75,-2.5418
2.76,-2.5615
2.77,-2.5809
2.78,-2.6002
2.79,-2.6193
2.8,-2.6382
2.81,-2.6569
2.82,-2.6754
2.83,-2.6937
2.84,-2.7118
2.85,-2.7297
2.86,-2.7474
2.87,-2.7648
2.88,-2.782
2.89,-2.799
2.9,-2.8158
2.91,-2.8323
2.92,-2.8486
2.93,-2.8647
2.94,-2.8805
2.95,-2.896
2.96,-2.9113
2.97,-2.9264
2.98,-2.9412
2.99,-2.9557
3.0,-2.97
3.01,-2.984
3.02,-2.9977
3.03,-3.0112
3.04,-3.0243
3.05,-3.0372
3.06,-3.0498
3.07,-3.0621
3.08,-3.0742
3.09,-3.0859
3.1,-3.0973
3.11,-3.1084
3.12,-3.1193
3.13,-3.1298
3.14,-3.14
3.15,-3.1499
3.16,-3.1595
3.17,-3.1687
3.18,-3.1777
3.19,-3.1863
3.2,-3.1945
3.21,-3.2025
3.22,-3.2101
3.23,-3.2174
3.24,-3.2243
3.25,-3.2309
3.26,-3.2372
3.27,-3.2431
3.28,-3.2486
3.29,-3.2538
3.3,-3.2587
3.31,-3.2632
3.32,-3.2673
3.33,-3.2711
3.34,-3.2745
3.35,-3.2775
3.36,-3.2802
3.37,-3.2825
3.38,-3.2844
3.39,-3.2859
3.4,-3.2871
3.41,-3.2879
3.42,-3.2883
3.43,-3.2883
3.44,-3.288
3.45,-3.2872
3.46,-3.2861
3.47,-3.2846
3.48,-3.2826
3.49,-3.2803
3.5,-3.2776
3.51,-3.2745
3.52,-3.271
3.53,-3.2671
3.54,-3.2627
3.55,-3.258
3.56,-3.2529
3.57,-3.2474
3.58,-3.2414
3.59,-3.2351
3.6,-3.2283
3.61,-3.2212
3.62,-3.2136
