v,E_kinetic
0.0,0.0
0.1,0.005
0.2,0.02
0.3,0.045
0.4,0.08
0.5,0.125
0.6,0.18
0.7,0.245
0.8,0.32
0.9,0.405
1.0,0.5
1.1,0.605
1.2,0.72
1.3,0.845
1.4,0.98
1.5,1.125
1.6,1.28
1.7,1.445
1.8,1.62
1.9,1.805
2.0,2.0
2.1,2.205
2.2,2.42
2.3,2.645
2.4,2.88
2.5,3.125
2.6,3.38
2.7,3.645
2.8,3.92
2.9,4.205
3.0,4.5
3.1,4.805
3.2,5.12
3.3,5.445
3.4,5.78
3.5,6.125
3.6,6.48
3.7,6.845
3.8,7.22
3.9,7.605
4.0,8.0
4.1,8.405
4.2,8.82
4.3,9.245
4.4,9.68
4.5,10.125
4.6,10.58
4.7,11.045
4.8,11.52
4.9,12.005
5.0,12.5
5.1,13.005
5.2,13.52
5.3,14.045
5.4,14.58
5.5,15.125
5.6,15.68
5.7,16.245
5.8,16.82
5.9,17.405
6.0,18.0
6.1,18.605
6.2,19.22
6.3,19.845
6.4,20.48
6.5,21.125
6.6,21.78
6.7,22.445
6.8,23.12
6.9,23.805
7.0,24.5
7.1,25.205
7.2,25.92
7.3,26.645
7.4,27.38
7.5,28.125
7.6,28.88
7.7,29.645
7.8,30.42
7.9,31.205
8.0,32.0
8.1,32.805
8.2,33.62
8.3,34.445
8.4,35.28
8.5,36.125
8.6,36.98
8.7,37.845
8.8,38.72
8.9,39.605
9.0,40.5
9.1,41.405
9.2,42.32
9.3,43.245
9.4,44.18
9.5,45.125
9.6,46.08
9.7,47.045
9.8,48.02
9.9,49.005
10.0,50.0
10.1,51.005
10.2,52.02
10.3,53.045
10.4,54.08
10.5,55.125
10.6,56.18
10.7,57.245
10.8,58.32
10.9,59.405
11.0,60.5
11.1,61.605
11.2,62.72
11.3,63.845
11.4,64.98
11.5,66.125
11.6,67.28
11.7,68.445
11.8,69.62
11.9,70.805
12.0,72.0
12.1,73.205
12.2,74.42
12.3,75.645
12.4,76.88
12.5,78.125
12.6,79.38
12.7,80.645
12.8,81.92
12.9,83.205
13.0,84.5
13.1,85.805
13.2,87.12
13.3,88.445
13.4,89.78
13.5,91.125
13.6,92.48
13.7,93.845
13.8,95.22
13.9,96.605
14.0,98.0
14.1,99.405
14.2,100.82
14.3,102.245
14.4,103.68
14.5,105.125
14.6,106.58
14.7,108.045
14.8,109.52
14.9,111.005
15.0,112.5
15.1,114.005
15.2,115.52
15.3,117.045
15.4,118.58
15.5,120.125
15.6,121.68
15.7,123.245
15.8,124.82
15.9,126.405
16.0,128.0
16.1,129.605
16.2,131.22
16.3,132.845
16.4,134.48
16.5,136.125
16.6,137.78
16.7,139.445
16.8,141.12
16.9,142.805
17.0,144.5
17.1,146.205
17.2,147.92
17.3,149.645
17.4,151.38
17.5,153.125
17.6,154.88
17.7,156.645
17.8,158.42
17.9,160.205
18.0,162.0
18.1,163.805
18.2,165.62
18.3,167.445
18.4,169.28
18.5,171.125
18.6,172.98
18.7,174.845
18.8,176.72
18.9,178.605
19.0,180.5
19.1,182.405
19.2,184.32
19.3,186.245
19.4,188.18
19.5,190.125
19.6,192.08
19.7,194.045
19.8,196.02
19.9,198.005
20.0,200.0
20.1,202.005
20.2,204.02
20.3,206.045
20.4,208.08
20.5,210.125
20.6,212.18
20.7,214.245
20.8,216.32
20.9,218.405
21.0,220.5
21.1,222.605
21.2,224.72
21.3,226.845
21.4,228.98
21.5,231.125
21.6,233.28
21.7,235.445
21.8,237.62
21.9,239.805
22.0,242.0
22.1,244.205
22.2,246.42
22.3,248.645
22.4,250.88
22.5,253.125
22.6,255.38
22.7,257.645
22.8,259.92
22.9,262.205
23.0,264.5
23.1,266.805
23.2,269.12
23.3,271.445
23.4,273.78
23.5,276.125
23.6,278.48
23.7,280.845
23.8,283.22
23.9,285.605
24.0,288.0
24.1,290.405
24.2,292.82
24.3,295.245
24.4,297.68
24.5,300.125
24.6,302.58
24.7,305.045
24.8,307.52
24.9,310.005
25.0,312.5
25.1,315.005
25.2,317.52
25.3,320.045
25.4,322.58
25.5,325.125
25.6,327.68
25.7,330.245
25.8,332.82
25.9,335.405
26.0,338.0
26.1,340.605
26.2,343.22
26.3,345.845
26.4,348.48
26.5,351.125
26.6,353.78
26.7,356.445
26.8,359.12
26.9,361.805
27.0,364.5
27.1,367.205
27.2,369.92
27.3,372.645
27.4,375.38
27.5,378.125
27.6,380.88
27.7,383.645
27.8,386.42
27.9,389.205
28.0,392.0
28.1,394.805
28.2,397.62
28.3,400.445
28.4,403.28
28.5,406.125
28.6,408.98
28.7,411.845
28.8,414.72
28.9,417.605
29.0,420.5
29.1,423.405
29.2,426.32
29.3,429.245
29.4,432.18
29.5,435.125
29.6,438.08
29.7,441.045
29.8,444.02
29.9,447.005
30.0,450.0
30.1,453.005
30.2,456.02
30.3,459.045
30.4,462.08
30.5,465.125
30.6,468.18
30.7,471.245
30.8,474.32
30.9,477.405
31.0,480.5
31.1,483.605
31.2,486.72
31.3,489.845
31.4,492.98
31.5,496.125
31.6,499.28
31.7,502.445
31.8,505.62
31.9,508.805
32.0,512.0
32.1,515.205
32.2,518.42
32.3,521.645
32.4,524.88
32.5,528.125
32.6,531.38
32.7,534.645
32.8,537.92
32.9,541.205
33.0,544.5
33.1,547.805
33.2,551.12
33.3,554.445
33.4,557.78
33.5,561.125
33.6,564.48
33.7,567.845
33.8,571.22
33.9,574.605
34.0,578.0
34.1,581.405
34.2,584.82
34.3,588.245
34.4,591.68
34.5,595.125
34.6,598.58
34.7,602.045
34.8,605.52
34.9,609.005
35.0,612.5
35.1,616.005
35.2,619.52
35.3,623.045
35.4,626.58
35.5,630.125
35.6,633.68
35.7,637.245
35.8,640.82
35.9,644.405
36.0,648.0
36.1,651.605
36.2,655.22
36.3,658.845
36.4,662.48
36.5,666.125
36.6,669.78
36.7,673.445
36.8,677.12
36.9,680.805
37.0,684.5
37.1,688.205
37.2,691.92
37.3,695.645
37.4,699.38
37.5,703.125
37.6,706.88
37.7,710.645
37.8,714.42
37.9,718.205
38.0,722.0
38.1,725.805
38.2,729.62
38.3,733.445
38.4,737.28
38.5,741.125
38.6,744.98
38.7,748.845
38.8,752.72
38.9,756.605
39.0,760.5
39.1,764.405
39.2,768.32
39.3,772.245
39.4,776.18
39.5,780.125
39.6,784.08
39.7,788.045
39.8,792.02
39.9,796.005
40.0,800.0
40.1,804.005
40.2,808.02
40.3,812.045
40.4,816.08
40.5,820.125
40.6,824.18
40.7,828.245
40.8,832.32
40.9,836.405
41.0,840.5
41.1,844.605
41.2,848.72
41.3,852.845
41.4,856.98
41.5,861.125
41.6,865.28
41.7,869.445
41.8,873.62
41.9,877.805
42.0,882.0
42.1,886.205
42.2,890.42
42.3,894.645
42.4,898.88
42.5,903.125
42.6,907.38
42.7,911.645
42.8,915.92
42.9,920.205
43.0,924.5
43.1,928.805
43.2,933.12
43.3,937.445
43.4,941.78
43.5,946.125
43.6,950.48
43.7,954.845
43.8,959.22
43.9,963.605
44.0,968.0
44.1,972.405
44.2,976.82
44.3,981.245
44.4,985.68
44.5,990.125
44.6,994.58
44.7,999.045
44.8,1003.52
44.9,1008.005
45.0,1012.5
45.1,1017.005
45.2,1021.52
45.3,1026.045
45.4,1030.58
45.5,1035.125
45.6,1039.68
45.7,1044.245
45.8,1048.82
45.9,1053.405
46.0,1058.0
46.1,1062.605
46.2,1067.22
46.3,1071.845
46.4,1076.48
46.5,1081.125
46.6,1085.78
46.7,1090.445
46.8,1095.12
46.9,1099.805
47.0,1104.5
47.1,1109.205
47.2,1113.92
47.3,1118.645
47.4,1123.38
47.5,1128.125
47.6,1132.88
47.7,1137.645
47.8,1142.42
47.9,1147.205
48.0,1152.0
48.1,1156.805
48.2,1161.62
48.3,1166.445
48.4,1171.28
48.5,1176.125
48.6,1180.98
48.7,1185.845
48.8,1190.72
48.9,1195.605
49.0,1200.5
49.1,1205.405
49.2,1210.32
49.3,1215.245
49.4,1220.18
49.5,1225.125
49.6,1230.08
49.7,1235.045
49.8,1240.02
49.9,1245.005
50.0,1250.0
50.1,1255.005
50.2,1260.02
50.3,1265.045
50.4,1270.08
50.5,1275.125
50.6,1280.18
50.7,1285.245
50.8,1290.32
50.9,1295.405
51.0,1300.5
51.1,1305.605
51.2,1310.72
51.3,1315.845
51.4,1320.98
51.5,1326.125
51.6,1331.28
51.7,1336.445
51.8,1341.62
51.9,1346.805
52.0,1352.0
52.1,1357.205
52.2,1362.42
52.3,1367.645
52.4,1372.88
52.5,1378.125
52.6,1383.38
52.7,1388.645
52.8,1393.92
52.9,1399.205
53.0,1404.5
53.1,1409.805
53.2,1415.12
53.3,1420.445
53.4,1425.78
53.5,1431.125
53.6,1436.48
53.7,1441.845
53.8,1447.22
53.9,1452.605
54.0,1458.0
54.1,1463.405
54.2,1468.82
54.3,1474.245
54.4,1479.68
54.5,1485.125
54.6,1490.58
54.7,1496.045
54.8,1501.52
54.9,1507.005
55.0,1512.5
55.1,1518.005
55.2,1523.52
55.3,1529.045
55.4,1534.58
55.5,1540.125
55.6,1545.68
55.7,1551.245
55.8,1556.82
55.9,1562.405
56.0,1568.0
56.1,1573.605
56.2,1579.22
56.3,1584.845
56.4,1590.48
56.5,1596.125
56.6,1601.78
56.7,1607.445
56.8,1613.12
56.9,1618.805
57.0,1624.5
57.1,1630.205
57.2,1635.92
57.3,1641.645
57.4,1647.38
57.5,1653.125
57.6,1658.88
57.7,1664.645
57.8,1670.42
57.9,1676.205
58.0,1682.0
58.1,1687.805
58.2,1693.62
58.3,1699.445
58.4,1705.28
58.5,1711.125
58.6,1716.98
58.7,1722.845
58.8,1728.72
58.9,1734.605
59.0,1740.5
59.1,1746.405
59.2,1752.32
59.3,1758.245
59.4,1764.18
59.5,1770.125
59.6,1776.08
59.7,1782.045
59.8,1788.02
59.9,1794.005
60.0,1800.0
60.1,1806.005
60.2,1812.02
60.3,1818.045
60.4,1824.08
60.5,1830.125
60.6,1836.18
60.7,1842.245
60.8,1848.32
60.9,1854.405
61.0,1860.5
61.1,1866.605
61.2,1872.72
61.3,1878.845
61.4,1884.98
61.5,1891.125
61.6,1897.28
61.7,1903.445
61.8,1909.62
61.9,1915.805
62.0,1922.0
62.1,1928.205
62.2,1934.42
62.3,1940.645
62.4,1946.88
62.5,1953.125
62.6,1959.38
62.7,1965.645
62.8,1971.92
62.9,1978.205
63.0,1984.5
63.1,1990.805
63.2,1997.12
63.3,2003.445
63.4,2009.78
63.5,2016.125
63.6,2022.48
63.7,2028.845
63.8,2035.22
63.9,2041.605
64.0,2048.0
64.1,2054.405
64.2,2060.82
64.3,2067.245
64.4,2073.68
64.5,2080.125
64.6,2086.58
64.7,2093.045
64.8,2099.52
64.9,2106.005
65.0,2112.5
65.1,2119.005
65.2,2125.52
65.3,2132.045
65.4,2138.58
65.5,2145.125
65.6,2151.68
65.7,2158.245
65.8,2164.82
65.9,2171.405
66.0,2178.0
66.1,2184.605
66.2,2191.22
66.3,2197.845
66.4,2204.48
66.5,2211.125
66.6,2217.78
